depth,latitude,longitude,hour,month,day,risk_level,magnitude
9.4183,36.7591,-116.805,21,8,28,0,2.63
4.3084,32.121,-102.219,20,8,28,0,2.6
10.0,-6.211,151.7381,20,8,28,1,5.0
10.0,-28.3225,62.5441,19,8,28,1,4.9
118.362,6.4352,126.7143,17,8,28,1,4.4
26.8,51.196,-178.25,15,8,28,0,3.5
9.80000019073486,37.5839996337891,-119.422500610352,14,8,28,0,2.68
67.134,40.2476,141.9657,14,8,28,1,4.4
55.32,18.4013333333333,-64.8641666666667,14,8,28,0,2.91
131.354,-21.2109,-68.5089,14,8,28,1,4.6
20.1,51.009,-178.761,13,8,28,0,2.7
115.8,51.781,-179.9,13,8,28,0,2.6
34.4,51.092,-178.844,13,8,28,0,2.6
65.7,51.716,-175.392,13,8,28,0,2.7
25.4,51.036,-178.741,12,8,28,0,2.8
15.5,51.554,-173.346,12,8,28,0,2.9
10.0,-3.6651,141.2038,12,8,28,1,4.5
5.84000015258789,39.3171653747559,-123.217834472656,12,8,28,0,2.69
35.4,51.037,-178.668,11,8,28,0,2.7
535.422,-21.1233,-178.6454,10,8,28,1,4.4
13.62,18.4908333333333,-66.6331666666667,10,8,28,0,2.58
10.0,-6.9733,127.3738,10,8,28,1,4.6
24.0,56.079,-154.419,10,8,28,0,3.1
131.746,25.8399,125.2609,10,8,28,1,4.5
7.5354,31.667,-104.368,10,8,28,0,2.8
-1.93,41.5596666666667,-109.888833333333,9,8,28,0,2.98
14.9,50.995,-178.702,9,8,28,0,2.6
10.0,52.1245,160.6615,9,8,28,1,5.0
10.0,-19.2675,168.2841,8,8,28,1,5.0
0.1,63.042,-143.778,6,8,28,0,3.1
35.0,10.0415,-78.4292,6,8,28,1,4.3
74.1,51.521,179.964,6,8,28,0,3.1
25.6,51.363,-178.196,5,8,28,0,2.5
10.0,29.2752,105.229,5,8,28,1,5.0
10.0,-50.116,111.5852,4,8,28,1,5.2
39.21,18.871,-64.3788333333333,4,8,28,0,3.42
25.83,19.1956666666667,-66.0928333333333,3,8,28,0,3.3
10.0,8.4191,-103.4604,2,8,28,1,5.0
24.315,47.155,-113.4515,2,8,28,0,3.2
12.071,22.0405,120.3615,2,8,28,1,4.4
2.2,65.462,-149.986,1,8,28,0,3.0
74.035,1.7526,126.8948,0,8,28,1,4.6
10.0,10.2402,-67.3313,0,8,28,1,4.4
130.0,-6.3912,130.3094,0,8,28,1,4.1
267.472,-3.934,152.0206,23,8,27,1,4.4
37.8,58.162,-151.537,23,8,27,0,3.2
520.313,-20.3798,-177.6957,23,8,27,1,4.9
35.0,53.1231,-166.831,22,8,27,0,2.9
63.668,42.0315,142.2416,22,8,27,1,4.6
12.6026,40.6068,-119.5801,14,9,14,0,3.42
16.9200000762939,37.8748321533203,-121.809829711914,13,9,14,0,2.99
595.732,-17.9042,-178.5152,11,9,14,1,4.2
20.0,52.617,-164.33,11,9,14,0,2.9
49.4,56.196,-154.116,11,9,14,0,3.0
137.2,59.813,-153.41,11,9,14,0,2.7
51.32,37.6068,141.5344,10,9,14,1,4.6
162.179,2.4223,128.1704,10,9,14,1,5.6
10.0,-8.5419,105.8726,9,9,14,1,5.5
35.0,37.1853,142.2375,7,9,14,1,4.5
10.797,35.6153,-98.0473,6,9,14,0,2.6
99.155,-5.0593,144.6082,6,9,14,1,4.5
7.1,60.657,-149.406,5,9,14,0,2.5
189.041,-24.1313,-66.9986,5,9,14,1,4.4
9.9,51.18,-176.39,4,9,14,0,2.6
71.9,51.504,179.332,3,9,14,0,2.5
10.0,25.5449,-45.3828,2,9,14,1,5.4
