depth,latitude,longitude,hour,month,day,day_of_year,season,depth_category,lat_lon_product,events_previous,avg_previous_magnitude,risk_level
6.29,38.0001666666667,-122.281666666667,22,5,10,130,1,0,-4646.723713611128,1.0,2.72,0
27.7,61.827,-146.94,23,5,10,130,1,0,-9084.85938,2.0,2.71,0
560.698,-23.3879,-179.8953,23,5,10,130,1,2,4207.37328687,3.0,3.5066666666666664,0
551.905,-23.4759,-179.8946,23,5,10,130,1,2,4223.1876401399995,4.0,3.88,0
35.0,-0.4584,98.7333,23,5,10,130,1,0,-45.259344719999994,5.0,3.944,1
69.142,54.3062,-163.7566,0,5,11,131,1,0,-8892.998670919998,6.0,3.8200000000000003,0
35.0,39.8176,143.1799,0,5,11,131,1,0,5701.07998624,7.0,3.8742857142857146,1
109.68,51.8163,-179.4917,0,5,11,131,1,1,-9300.59577471,8.0,3.7525,0
10.0,39.857,143.6856,0,5,11,131,1,0,5726.8769592,9.0,3.8800000000000003,1
10.0,27.4219,129.5472,1,5,11,131,1,0,3552.43036368,10.0,3.9619999999999997,1
54.665,41.1548,142.3508,2,5,11,131,1,0,5858.41870384,11.0,4.12,1
35.0,1.295,126.3886,3,5,11,131,1,0,163.673237,12.0,4.29,1
73.253,32.5902,140.6231,4,5,11,131,1,1,4582.93495362,13.0,4.1899999999999995,0
167.773,36.3284,69.4816,4,5,11,131,1,1,2524.15535744,14.0,4.12,0
9.4556,38.9276,-118.8221,4,5,11,131,1,0,-4625.45917996,15.0,3.9579999999999997,0
10.0,56.2079,-149.2072,4,5,11,131,1,0,-8386.623376880001,16.0,3.9479999999999995,0
10.0,3.7685,-32.8973,4,5,11,131,1,0,-123.97347505,17.0,3.978,1
111.4,62.915,-151.198,5,5,11,131,1,1,-9512.62217,18.0,4.018,0
113.631,-23.0596,-68.628,5,5,11,131,1,1,1582.5342288,19.0,3.9879999999999995,0
10.0,50.9128,-175.2934,5,5,11,131,1,0,-8924.677815519999,20.0,3.768,0
10.0,51.2769,-174.336,5,5,11,131,1,0,-8939.4096384,21.0,3.6479999999999997,0
52.243,17.2155,120.3885,6,5,11,131,1,0,2072.54822175,22.0,3.628,1
35.0,39.6104,143.2,6,5,11,131,1,0,5672.209279999999,23.0,3.628,1
14.314,40.4264,-125.8612,7,5,11,131,1,0,-5088.11521568,24.0,3.468,0
10.0,8.1187,126.3586,7,5,11,131,1,0,1025.86756582,25.0,3.6700000000000004,1
40.75,-17.9465,-173.6344,7,5,11,131,1,0,3116.1297596,26.0,3.79,1
4.33,39.943,-123.7135,8,5,11,131,1,0,-4941.488330499999,27.0,3.595,0
10.0,56.1146,-149.3463,8,5,11,131,1,0,-8380.507885980001,28.0,3.5349999999999993,0
10.0,56.259,-149.339,8,5,11,131,1,0,-8401.662801,29.0,3.3850000000000002,0
3.41,39.9445,-123.711666666667,8,5,11,131,1,0,-4941.60066916668,30.0,3.3869999999999996,0
35.0,52.1249,-170.8387,8,5,11,131,1,0,-8904.95015363,31.0,3.457,1
15.58,32.9445,-115.535,9,5,11,131,1,0,-3806.2428075,32.0,3.29,0
19.046,51.4291,-179.0807,9,5,11,131,1,0,-9209.95922837,33.0,3.1399999999999997,0
108.84,51.696,-178.5508,9,5,11,131,1,1,-9230.3621568,34.0,3.13,0
10.0,-9.3115,159.1816,9,5,11,131,1,0,-1482.2194684,35.0,3.19,1
10.0,51.2262,-174.1911,9,5,11,131,1,0,-8923.14812682,36.0,3.1,1
35.0,51.2446,-177.0795,10,5,11,131,1,0,-9074.3681457,37.0,3.1550000000000002,0
8.7057,39.2777,-119.1003,10,5,11,131,1,0,-4677.9858533100005,38.0,3.1740000000000004,0
8.2404,39.2744,-119.1062,10,5,11,131,1,0,-4677.82454128,39.0,3.143,0
10.0,51.19,-174.2021,10,5,11,131,1,0,-8917.405499,40.0,3.181,0
4.54,39.945,-123.713166666667,11,5,11,131,1,0,-4941.722442500013,41.0,3.082,0
42.048,51.6059,-177.9347,11,5,11,131,1,0,-9182.480334729999,42.0,3.089,0
4.49,39.945,-123.714,11,5,11,131,1,0,-4941.75573,43.0,3.13,0
4.5,37.5118333333333,-118.831166666667,11,5,11,131,1,0,-4457.574918805564,44.0,3.128,0
22.691,51.0663,179.1802,12,5,11,131,1,0,9150.06984726,45.0,2.9579999999999997,1
69.713,51.9685,-173.2606,12,5,11,131,1,0,-9004.0934911,46.0,2.998,1
1.5,53.951,-162.463,12,5,11,131,1,0,-8765.041313,47.0,2.9579999999999997,0
39.0,19.1418,-67.967,12,5,11,131,1,0,-1301.0107206,48.0,3.037,1
10.0,55.8197,114.5242,13,5,11,131,1,0,6392.7064867399995,49.0,3.1580000000000004,1
25.047,37.5328,21.1373,13,5,11,131,1,0,793.34205344,50.0,3.2879999999999994,1
95.42,2.8018,127.8554,13,5,11,131,1,1,358.22525972,51.0,3.407,0
18.945,52.6055,-164.9601,14,5,11,131,1,0,-8677.80854055,52.0,3.497,1
5.0,40.1683,-98.3584,14,5,11,131,1,0,-3950.8897187200005,53.0,3.4859999999999998,0
